               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12018,            0.048061,            0.037044,             0.15639,                 0.1,             0.04626,           0.0067477,             0.11697,            0.033552,            0.043512,                   0,                   0,                 0.1
                   1,             0.12402,            0.045483,            0.035808,             0.15615,                 0.1,            0.043483,            0.010368,             0.11564,             0.03389,            0.044514,          9.9998e-06,          9.9998e-06,             0.09991
                   2,             0.12246,            0.056053,            0.034685,             0.16359,                 0.1,            0.043565,            0.010405,             0.11549,            0.033846,            0.044379,          1.9998e-05,          1.9998e-05,             0.09982
                   3,             0.12228,            0.038474,            0.036193,             0.16178,            0.097067,            0.043526,           0.0069803,              0.1152,             0.03376,            0.044207,          2.9993e-05,          2.9993e-05,             0.09973
                   4,             0.12267,            0.040954,            0.034688,             0.15986,            0.095916,            0.043748,            0.010247,             0.11505,            0.033667,            0.044022,          3.9984e-05,          3.9984e-05,             0.09964
                   5,             0.12218,            0.037244,            0.036272,             0.15665,            0.093987,             0.04763,            0.010051,             0.11467,            0.033561,            0.043872,          4.9969e-05,          4.9969e-05,             0.09955
                   6,             0.12443,            0.044803,            0.036594,             0.16503,            0.099017,            0.047492,           0.0065385,               0.114,            0.033515,            0.043675,          5.9947e-05,          5.9947e-05,             0.09946
                   7,             0.12142,            0.049933,            0.035515,             0.16162,            0.096973,            0.047875,           0.0063874,             0.11339,            0.033487,            0.043499,          6.9915e-05,          6.9915e-05,             0.09937
                   8,             0.11912,            0.059676,            0.036162,             0.14564,                 0.1,            0.048116,            0.010444,             0.11268,            0.033444,            0.043352,          7.9874e-05,          7.9874e-05,             0.09928
                   9,             0.11964,            0.047243,            0.035022,            0.073103,                 0.1,            0.040297,           0.0088766,             0.11175,            0.033413,            0.043175,           8.982e-05,           8.982e-05,             0.09919
                  10,             0.12396,             0.05973,            0.035897,             0.07517,                 0.1,            0.035847,           0.0080031,             0.11082,            0.033399,             0.04299,          9.9753e-05,          9.9753e-05,              0.0991
                  11,             0.11767,            0.068217,            0.035018,            0.080984,                 0.1,            0.032871,           0.0081563,             0.10994,            0.033394,            0.042785,          0.00010967,          0.00010967,             0.09901
                  12,             0.11924,            0.066748,            0.034342,            0.054259,                 0.1,            0.030277,           0.0076117,             0.10896,            0.033419,            0.042485,          0.00011957,          0.00011957,             0.09892
                  13,             0.11965,            0.057758,            0.032943,            0.056408,                 0.1,            0.030769,            0.007712,             0.10773,            0.033434,            0.042429,          0.00012946,          0.00012946,            0.098829
                  14,             0.11728,            0.039702,            0.037662,            0.054195,                 0.1,            0.029537,           0.0056417,             0.10649,            0.033524,            0.042062,          0.00013932,          0.00013932,            0.098739
                  15,             0.11609,            0.037678,            0.032161,            0.053994,                 0.1,            0.030756,           0.0055261,             0.10509,             0.03352,            0.041915,          0.00014917,          0.00014917,            0.098649
                  16,             0.11728,            0.043293,            0.034182,            0.036931,             0.46717,            0.029841,           0.0055029,              0.1034,            0.033589,            0.041876,          0.00015899,          0.00015899,            0.098559
                  17,             0.11739,            0.052471,            0.032842,            0.041438,                 0.5,            0.030448,           0.0056078,             0.10182,            0.033603,            0.041672,          0.00016879,          0.00016879,            0.098469
                  18,             0.11757,            0.051934,             0.03495,            0.042012,                 0.5,            0.029865,           0.0056234,             0.10024,            0.033653,            0.041509,          0.00017857,          0.00017857,            0.098379
                  19,             0.11489,            0.049485,            0.032798,            0.042067,                 0.5,            0.028791,           0.0055704,            0.099021,            0.033667,            0.041367,          0.00018831,          0.00018831,            0.098288
                  20,             0.11703,            0.052546,            0.033857,            0.042666,                 0.5,            0.027846,           0.0054487,            0.097404,            0.033694,             0.04112,          0.00019803,          0.00019803,            0.098198
                  21,             0.11465,             0.03746,            0.033494,            0.045111,                 0.5,            0.026037,            0.005531,            0.095424,            0.033789,            0.040499,          0.00020772,          0.00020772,            0.098108
                  22,             0.11543,            0.036247,            0.036557,            0.024371,                 0.4,            0.016494,           0.0045651,            0.093503,            0.033852,            0.040252,          0.00021738,          0.00021738,            0.098017
                  23,             0.11334,            0.055167,            0.032628,             0.02539,                 0.4,            0.016025,           0.0045395,            0.091688,            0.033886,            0.040037,          0.00022701,          0.00022701,            0.097927
                  24,             0.11411,            0.044035,            0.033704,            0.019307,                 0.4,            0.015919,           0.0041896,            0.089816,            0.033932,            0.039562,          0.00023661,          0.00023661,            0.097837
                  25,             0.11096,            0.048529,            0.032278,             0.01898,                 0.4,            0.015663,           0.0041775,            0.087753,            0.034017,            0.039215,          0.00024617,          0.00024617,            0.097746
                  26,             0.11308,            0.050583,            0.032001,            0.019499,                 0.4,            0.015241,           0.0040674,            0.085879,             0.03403,            0.039095,          0.00025569,          0.00025569,            0.097656
                  27,              0.1075,            0.048735,            0.031785,            0.019385,                 0.4,            0.014352,           0.0039724,            0.083403,            0.034073,            0.038714,          0.00026518,          0.00026518,            0.097565
                  28,             0.11253,            0.049623,             0.03229,            0.016693,                 0.3,            0.015751,           0.0035765,            0.082055,            0.034118,            0.038452,          0.00027462,          0.00027462,            0.097475
                  29,             0.10975,            0.045449,            0.033652,            0.016585,                 0.3,             0.01335,           0.0033005,            0.081171,            0.034139,            0.038239,          0.00028403,          0.00028403,            0.097384
                  30,             0.11353,            0.050033,            0.031549,            0.016503,                 0.3,            0.013143,           0.0038467,             0.08041,            0.034119,            0.037854,          0.00029339,          0.00029339,            0.097293
                  31,             0.10605,            0.056289,            0.030355,            0.016585,                 0.3,            0.013267,           0.0038939,            0.080075,            0.034062,            0.037639,          0.00030271,          0.00030271,            0.097203
                  32,             0.10037,            0.053636,            0.028748,            0.016738,                 0.3,            0.012931,           0.0043515,            0.079706,             0.03408,            0.037207,          0.00031199,          0.00031199,            0.097112
                  33,             0.10716,             0.05128,             0.03204,            0.016895,                 0.3,            0.013063,           0.0040483,            0.079375,            0.034055,            0.036691,          0.00032122,          0.00032122,            0.097021
                  34,            0.098952,            0.050406,            0.030237,            0.017338,                 0.3,            0.013195,           0.0044673,            0.079454,            0.034054,            0.036241,           0.0003304,           0.0003304,             0.09693
                  35,             0.10098,            0.058396,            0.030959,            0.016076,             0.27924,            0.015048,           0.0048204,            0.079577,            0.034034,            0.035772,          0.00033954,          0.00033954,             0.09684
                  36,             0.10062,            0.050794,            0.031148,            0.017044,                 0.3,            0.014957,            0.005084,             0.07993,            0.034028,            0.035351,          0.00034862,          0.00034862,            0.096749
                  37,             0.10176,            0.054433,            0.029748,            0.037086,                 0.2,            0.022074,           0.0064916,            0.080069,            0.033985,            0.035039,          0.00035766,          0.00035766,            0.096658
                  38,            0.098095,            0.073496,            0.029757,            0.035438,                 0.2,            0.022431,           0.0065375,            0.080327,            0.033927,            0.034554,          0.00036664,          0.00036664,            0.096567
                  39,            0.088145,             0.05254,            0.026575,            0.034323,                 0.2,            0.021984,           0.0064546,            0.080266,             0.03387,            0.034112,          0.00037557,          0.00037557,            0.096476
                  40,             0.10001,              0.0522,            0.031864,            0.044143,                 0.2,             0.02348,           0.0067816,            0.080247,            0.033834,            0.033765,          0.00038444,          0.00038444,            0.096384
                  41,            0.099411,            0.057092,            0.028366,            0.044031,                 0.2,            0.024356,           0.0070703,            0.080171,            0.033788,            0.033359,          0.00039325,          0.00039325,            0.096293
                  42,             0.09727,            0.054201,            0.027478,             0.03942,                 0.2,            0.022984,           0.0066445,            0.079937,            0.033851,            0.032917,          0.00040201,          0.00040201,            0.096202
                  43,            0.095941,            0.071081,            0.027673,            0.033845,                 0.2,            0.024107,            0.006853,            0.079811,            0.033817,            0.032517,          0.00041071,          0.00041071,            0.096111
                  44,            0.093774,            0.043178,            0.030027,             0.04042,                 0.1,            0.023362,           0.0068118,            0.079557,            0.033815,            0.032053,          0.00041935,          0.00041935,            0.096019
                  45,            0.088127,            0.054377,            0.027284,            0.034194,                 0.2,            0.025098,           0.0061071,            0.079308,            0.033847,            0.031576,          0.00042793,          0.00042793,            0.095928
                  46,            0.098085,            0.055015,            0.027235,            0.048496,                 0.1,            0.025409,           0.0063506,            0.078972,             0.03386,            0.031135,          0.00043644,          0.00043644,            0.095836
                  47,             0.09179,            0.071998,            0.029701,            0.044265,                 0.1,            0.028624,           0.0067971,            0.078609,            0.033863,            0.030495,           0.0004449,           0.0004449,            0.095745
                  48,            0.092848,            0.040964,            0.028971,            0.056513,                 0.1,            0.030504,           0.0072464,             0.07819,            0.033885,            0.029967,          0.00045328,          0.00045328,            0.095653
                  49,            0.098059,            0.060179,            0.031263,            0.015395,                 0.3,            0.014619,           0.0054465,            0.077887,            0.033891,            0.029611,           0.0004616,           0.0004616,            0.095562
                  50,            0.097767,            0.063301,            0.029496,            0.015044,                 0.3,             0.01724,           0.0060787,            0.077605,            0.033919,            0.029257,          0.00046986,          0.00046986,             0.09547
                  51,            0.094981,            0.061008,            0.027237,            0.017889,                 0.5,             0.01725,           0.0061092,            0.077354,             0.03395,             0.02879,          0.00047804,          0.00047804,            0.095378
                  52,            0.089462,            0.053572,            0.025784,            0.015174,                 0.3,            0.017018,           0.0059568,            0.077168,            0.033923,            0.028528,          0.00048616,          0.00048616,            0.095286
                  53,            0.098168,            0.038921,            0.028427,            0.017813,                 0.5,            0.016959,           0.0055549,            0.076857,            0.033946,            0.028181,           0.0004942,           0.0004942,            0.095194
                  54,            0.092953,            0.039082,            0.026736,            0.018081,                 0.5,            0.017789,           0.0056858,             0.07638,            0.034006,            0.027821,          0.00050217,          0.00050217,            0.095102
                  55,            0.084595,            0.046282,            0.029403,            0.030034,                 0.5,            0.022555,           0.0058892,            0.076037,            0.034053,            0.027469,          0.00051007,          0.00051007,             0.09501
                  56,            0.086096,            0.055044,             0.02413,            0.030099,                 0.5,            0.023824,           0.0059944,            0.075588,            0.034093,            0.027171,           0.0005179,           0.0005179,            0.094918
                  57,            0.089688,            0.046014,            0.025947,            0.031759,                 0.4,            0.025383,            0.006066,            0.075265,            0.034148,            0.026888,          0.00052565,          0.00052565,            0.094826
                  58,            0.085778,            0.062517,            0.025113,            0.031098,                 0.4,            0.025832,           0.0061369,            0.075054,            0.034184,            0.026615,          0.00053332,          0.00053332,            0.094733
                  59,            0.090295,             0.07529,            0.027106,             0.09192,             0.09192,            0.042097,           0.0077569,            0.074806,            0.034213,            0.026319,          0.00054092,          0.00054092,            0.094641
                  60,            0.088996,            0.050847,            0.028643,             0.08617,                 0.1,            0.035513,           0.0070738,            0.074479,             0.03422,            0.026001,          0.00054843,          0.00054843,            0.094548
                  61,            0.081219,            0.073576,            0.026914,            0.091531,                 0.1,            0.041612,           0.0080025,            0.074112,            0.034262,            0.025703,          0.00055587,          0.00055587,            0.094456
                  62,            0.088985,            0.043444,            0.028822,            0.098536,                 0.1,            0.049807,            0.008846,            0.073786,            0.034238,            0.025465,          0.00056323,          0.00056323,            0.094363
                  63,            0.082162,              0.0689,            0.026989,             0.13602,                 0.1,            0.050165,           0.0088384,            0.073539,            0.034201,            0.025297,          0.00057051,          0.00057051,            0.094271
                  64,            0.085233,            0.053619,            0.027577,             0.23576,            0.094303,            0.069757,            0.016048,            0.073366,            0.034197,            0.025102,           0.0005777,           0.0005777,            0.094178
                  65,            0.079997,            0.064647,             0.02506,             0.20596,                 0.1,            0.070145,            0.016606,            0.073192,            0.034158,            0.024946,          0.00058482,          0.00058482,            0.094085
                  66,            0.083952,            0.049831,            0.024399,             0.22044,                 0.1,            0.071362,            0.011802,            0.072909,            0.034114,            0.024824,          0.00059184,          0.00059184,            0.093992
                  67,            0.086497,            0.087263,            0.023098,             0.21615,                 0.1,            0.071533,            0.016969,            0.072792,            0.034078,            0.024641,          0.00059878,          0.00059878,            0.093899
                  68,            0.081112,            0.069673,            0.024764,             0.23094,                 0.1,            0.072402,            0.017418,            0.072711,            0.033998,            0.024458,          0.00060564,          0.00060564,            0.093806
                  69,            0.083542,            0.071382,            0.025026,             0.22822,            0.091287,            0.072955,            0.012094,            0.072701,            0.033892,            0.024235,          0.00061241,          0.00061241,            0.093712
                  70,            0.082605,            0.073796,            0.022295,             0.24345,            0.097381,            0.073107,            0.012071,            0.072635,            0.033789,            0.024107,          0.00061909,          0.00061909,            0.093619
                  71,            0.069858,            0.039028,            0.025844,             0.18917,                 0.1,             0.12558,            0.028312,            0.072003,            0.033973,             0.02377,          0.00062568,          0.00062568,            0.093526
                  72,            0.085209,            0.038498,            0.022806,             0.18917,                 0.1,             0.12558,            0.028312,            0.072003,            0.033973,             0.02377,          0.00063219,          0.00063219,            0.093432
                  73,            0.074365,            0.039096,            0.019398,             0.24905,                 0.1,             0.12649,            0.038778,            0.071577,            0.034047,            0.023556,           0.0006386,           0.0006386,            0.093339
                  74,             0.07687,            0.061005,            0.019993,             0.24905,                 0.1,             0.12649,            0.038778,            0.071577,            0.034047,            0.023556,          0.00064492,          0.00064492,            0.093245
                  75,            0.082745,            0.062769,            0.021428,             0.24207,                 0.1,             0.12867,             0.03917,            0.071064,            0.034083,            0.023273,          0.00065115,          0.00065115,            0.093151
                  76,            0.082265,            0.081474,            0.025845,             0.24207,                 0.1,             0.12867,             0.03917,            0.071064,            0.034083,            0.023273,          0.00065728,          0.00065728,            0.093057
                  77,            0.079857,            0.054517,            0.024153,              0.3006,                 0.1,             0.13196,            0.044307,            0.070844,            0.034097,            0.023025,          0.00066333,          0.00066333,            0.092963
                  78,            0.073177,            0.053465,            0.019519,              0.3006,                 0.1,             0.13196,            0.044307,            0.070844,            0.034097,            0.023025,          0.00066928,          0.00066928,            0.092869
                  79,            0.075023,             0.03889,            0.019398,             0.24437,                 0.1,             0.13027,            0.038257,            0.070831,            0.033881,            0.023002,          0.00067513,          0.00067513,            0.092775
                  80,            0.073603,            0.068533,            0.020457,             0.24437,                 0.1,             0.13027,            0.038257,            0.070831,            0.033881,            0.023002,          0.00068089,          0.00068089,            0.092681
                  81,            0.078474,              0.0593,            0.021535,             0.33781,                 0.1,             0.13224,            0.038407,             0.07043,            0.033823,            0.022797,          0.00068655,          0.00068655,            0.092587
                  82,            0.081386,            0.056825,            0.021094,             0.33781,                 0.1,             0.13224,            0.038407,             0.07043,            0.033823,            0.022797,          0.00069211,          0.00069211,            0.092492
                  83,            0.081509,            0.044002,            0.023074,             0.30027,                 0.1,             0.13281,            0.038504,                0.07,            0.033852,            0.022564,          0.00069758,          0.00069758,            0.092398
                  84,            0.079364,            0.073258,             0.02453,             0.30027,                 0.1,             0.13281,            0.038504,                0.07,            0.033852,            0.022564,          0.00070295,          0.00070295,            0.092303
                  85,            0.076497,             0.04906,             0.01772,             0.40474,                 0.1,             0.13332,            0.038392,            0.070037,            0.033731,             0.02241,          0.00070822,          0.00070822,            0.092208
                  86,            0.075248,            0.058627,            0.021381,             0.40474,                 0.1,             0.13332,            0.038392,            0.070037,            0.033731,             0.02241,          0.00071338,          0.00071338,            0.092113
                  87,            0.076523,            0.067563,            0.017709,              0.3582,                 0.1,             0.13668,            0.048988,            0.069939,            0.033676,             0.02214,          0.00071845,          0.00071845,            0.092018
                  88,            0.079755,            0.062041,            0.021954,              0.3582,                 0.1,             0.13668,            0.048988,            0.069939,            0.033676,             0.02214,          0.00072342,          0.00072342,            0.091923
                  89,            0.070358,            0.053528,            0.017497,             0.24962,                 0.1,             0.12988,            0.037251,            0.070396,            0.033239,            0.022142,          0.00072829,          0.00072829,            0.091828
                  90,            0.077091,            0.070949,            0.021533,             0.24962,                 0.1,             0.12988,            0.037251,            0.070396,            0.033239,            0.022142,          0.00073305,          0.00073305,            0.091733
                  91,            0.079707,            0.067002,            0.021943,             0.28802,                 0.1,             0.13047,            0.047289,            0.070482,            0.033065,            0.022004,          0.00073772,          0.00073772,            0.091638
                  92,            0.070121,            0.042691,            0.017569,             0.28802,                 0.1,             0.13047,            0.047289,            0.070482,            0.033065,            0.022004,          0.00074228,          0.00074228,            0.091542
                  93,            0.081628,            0.081378,            0.022844,             0.46804,                 0.1,               0.135,            0.049128,            0.070495,            0.032968,            0.021839,          0.00074673,          0.00074673,            0.091447
                  94,            0.069382,            0.037651,            0.017773,             0.46804,                 0.1,               0.135,            0.049128,            0.070495,            0.032968,            0.021839,          0.00075108,          0.00075108,            0.091351
                  95,            0.082082,            0.058846,             0.02121,             0.38722,                 0.1,              0.1371,            0.038467,             0.07035,            0.032819,            0.021636,          0.00075533,          0.00075533,            0.091255
                  96,              0.0778,            0.065953,            0.022073,             0.38722,                 0.1,              0.1371,            0.038467,             0.07035,            0.032819,            0.021636,          0.00075948,          0.00075948,            0.091159
                  97,            0.074303,            0.051075,            0.020092,             0.28383,                 0.1,               0.139,            0.039325,            0.070194,            0.032709,            0.021409,          0.00076352,          0.00076352,            0.091064
                  98,            0.077318,            0.055845,            0.021507,             0.28383,                 0.1,               0.139,            0.039325,            0.070194,            0.032709,            0.021409,          0.00076745,          0.00076745,            0.090967
                  99,            0.079381,            0.059937,            0.019383,             0.43041,                 0.1,              0.1384,            0.043212,             0.07015,            0.032559,            0.021238,          0.00077128,          0.00077128,            0.090871
                 100,            0.077382,            0.048859,            0.024894,             0.43041,                 0.1,              0.1384,            0.043212,             0.07015,            0.032559,            0.021238,            0.000775,            0.000775,            0.090775
                 101,            0.078671,            0.068064,            0.018835,             0.43308,                 0.1,             0.14057,            0.033323,            0.069873,             0.03245,            0.021007,          0.00077862,          0.00077862,            0.090679
                 102,            0.078815,            0.062837,            0.022701,             0.43308,                 0.1,             0.14057,            0.033323,            0.069873,             0.03245,            0.021007,          0.00078212,          0.00078212,            0.090582
                 103,            0.077471,            0.086617,            0.021861,             0.48808,                 0.1,             0.14153,            0.023988,            0.069689,            0.032317,            0.020804,          0.00078553,          0.00078553,            0.090486
                 104,            0.048428,            0.039891,            0.014718,             0.48808,                 0.1,             0.14153,            0.023988,            0.069689,            0.032317,            0.020804,          0.00078882,          0.00078882,            0.090389
                 105,            0.071729,            0.075641,            0.016945,             0.74515,                 0.1,             0.09271,            0.024849,            0.069653,            0.032165,            0.020633,          0.00079201,          0.00079201,            0.090292
                 106,            0.079449,            0.033264,            0.017229,             0.74515,                 0.1,             0.09271,            0.024849,            0.069653,            0.032165,            0.020633,          0.00079509,          0.00079509,            0.090195
                 107,             0.07839,            0.051098,            0.021802,             0.74612,                 0.1,             0.14524,            0.020098,            0.069631,            0.032054,            0.020514,          0.00079806,          0.00079806,            0.090098
                 108,            0.073808,            0.045839,            0.020968,             0.74612,                 0.1,             0.14524,            0.020098,            0.069631,            0.032054,            0.020514,          0.00080093,          0.00080093,            0.090001
                 109,            0.079021,            0.069832,            0.018858,             0.74935,                 0.1,             0.14334,            0.030248,            0.069491,            0.031976,            0.020387,          0.00080369,          0.00080369,            0.089904
                 110,            0.072385,            0.067759,            0.017183,             0.74935,                 0.1,             0.14334,            0.030248,            0.069491,            0.031976,            0.020387,          0.00080633,          0.00080633,            0.089806
                 111,            0.070636,            0.040827,            0.022252,             0.91459,                 0.1,             0.14785,            0.020891,            0.069733,            0.031842,            0.020231,          0.00080888,          0.00080888,            0.089709
                 112,            0.072309,            0.079241,            0.018546,             0.91459,                 0.1,             0.14785,            0.020891,            0.069733,            0.031842,            0.020231,          0.00081131,          0.00081131,            0.089611
                 113,             0.06915,            0.054738,            0.017144,             0.97063,                 0.1,             0.14945,             0.02255,            0.070076,            0.031772,            0.020087,          0.00081363,          0.00081363,            0.089514
                 114,            0.073836,            0.050703,            0.021477,             0.97063,                 0.1,             0.14945,             0.02255,            0.070076,            0.031772,            0.020087,          0.00081585,          0.00081585,            0.089416
                 115,            0.065437,            0.052857,            0.017638,              0.9764,                 0.1,             0.15338,            0.024245,            0.069822,            0.031699,             0.01987,          0.00081796,          0.00081796,            0.089318
                 116,            0.068384,            0.067508,             0.01951,              0.9764,                 0.1,             0.15338,            0.024245,            0.069822,            0.031699,             0.01987,          0.00081995,          0.00081995,             0.08922
                 117,             0.06914,            0.082446,            0.018256,             0.97916,                 0.1,             0.15426,            0.024727,            0.069899,             0.03157,            0.019756,          0.00082185,          0.00082185,            0.089122
                 118,            0.073105,            0.052366,            0.015695,             0.97916,                 0.1,             0.15426,            0.024727,            0.069899,             0.03157,            0.019756,          0.00082363,          0.00082363,            0.089024
                 119,            0.073084,            0.064825,            0.019473,             0.98718,                 0.1,             0.15415,            0.035831,            0.069945,             0.03151,            0.019651,           0.0008253,           0.0008253,            0.088925
                 120,            0.072782,            0.048897,            0.018314,             0.98718,                 0.1,             0.15415,            0.035831,            0.069945,             0.03151,            0.019651,          0.00082687,          0.00082687,            0.088827
                 121,            0.071004,            0.035401,            0.024738,              0.9839,                 0.1,              0.1555,            0.025804,            0.069542,            0.031487,            0.019525,          0.00082833,          0.00082833,            0.088728
                 122,            0.071095,            0.051127,            0.025308,              0.9839,                 0.1,              0.1555,            0.025804,            0.069542,            0.031487,            0.019525,          0.00082968,          0.00082968,             0.08863
                 123,            0.071345,            0.055441,            0.017378,              0.9888,                 0.1,             0.16272,            0.039313,            0.069243,            0.031397,            0.019355,          0.00083092,          0.00083092,            0.088531
                 124,            0.078944,            0.051536,             0.02057,              0.9888,                 0.1,             0.16272,            0.039313,            0.069243,            0.031397,            0.019355,          0.00083206,          0.00083206,            0.088432
                 125,             0.06966,             0.05328,            0.014657,             0.99298,                 0.1,             0.15555,            0.037728,             0.06875,              0.0313,            0.019187,          0.00083309,          0.00083309,            0.088333
                 126,            0.068389,            0.054755,            0.016516,             0.99298,                 0.1,             0.15555,            0.037728,             0.06875,              0.0313,            0.019187,          0.00083401,          0.00083401,            0.088234
                 127,             0.06931,            0.048986,             0.01489,               0.997,                 0.1,             0.15763,            0.050773,            0.068092,            0.031202,            0.019021,          0.00083482,          0.00083482,            0.088135
                 128,            0.060206,            0.040812,            0.014894,               0.997,                 0.1,             0.15763,            0.050773,            0.068092,            0.031202,            0.019021,          0.00083553,          0.00083553,            0.088036
                 129,            0.077813,            0.047574,            0.018533,             0.99605,                 0.1,             0.15825,            0.051305,            0.067841,            0.031071,             0.01888,          0.00083613,          0.00083613,            0.087936
                 130,            0.074615,            0.049042,            0.016042,             0.99605,                 0.1,             0.15825,            0.051305,            0.067841,            0.031071,             0.01888,          0.00083663,          0.00083663,            0.087837
                 131,            0.073503,            0.041955,            0.014665,             0.99901,                 0.1,             0.16039,            0.051534,             0.06739,            0.031003,            0.018732,          0.00083702,          0.00083702,            0.087737
                 132,            0.062673,            0.033113,            0.012851,             0.99901,                 0.1,             0.16039,            0.051534,             0.06739,            0.031003,            0.018732,           0.0008373,           0.0008373,            0.087637
                 133,            0.065401,            0.031167,            0.013482,             0.99397,                 0.1,             0.15792,            0.063085,            0.065742,            0.030938,            0.018575,          0.00083749,          0.00083749,            0.087537
                 134,            0.070088,            0.049082,            0.020739,             0.99397,                 0.1,             0.15792,            0.063085,            0.065742,            0.030938,            0.018575,          0.00083756,          0.00083756,            0.087438
                 135,            0.054225,            0.042108,            0.011982,             0.99569,                 0.1,              0.1594,            0.051105,            0.065881,            0.030802,            0.018416,          0.00083753,          0.00083753,            0.087338
                 136,            0.069409,            0.068995,            0.017053,             0.99569,                 0.1,              0.1594,            0.051105,            0.065881,            0.030802,            0.018416,           0.0008374,           0.0008374,            0.087237
                 137,            0.074284,            0.060534,            0.020124,             0.63573,             0.29825,             0.19944,            0.044757,            0.065953,            0.030685,            0.018269,          0.00083717,          0.00083717,            0.087137
                 138,            0.071012,               0.045,            0.014971,             0.63573,             0.29825,             0.19944,            0.044757,            0.065953,            0.030685,            0.018269,          0.00083683,          0.00083683,            0.087037
                 139,            0.061664,            0.050814,            0.013727,             0.63589,                 0.3,             0.20093,            0.066823,            0.066913,            0.030563,            0.018167,          0.00083639,          0.00083639,            0.086936
                 140,            0.066303,            0.044536,            0.016486,             0.63589,                 0.3,             0.20093,            0.066823,            0.066913,            0.030563,            0.018167,          0.00083585,          0.00083585,            0.086836
                 141,             0.06721,            0.068185,            0.015648,              0.6496,                 0.3,             0.20668,             0.12431,            0.067193,            0.030412,            0.018043,          0.00083521,          0.00083521,            0.086735
                 142,            0.072947,            0.047414,            0.020496,              0.6496,                 0.3,             0.20668,             0.12431,            0.067193,            0.030412,            0.018043,          0.00083447,          0.00083447,            0.086634
                 143,            0.065284,            0.060202,            0.014361,             0.13275,                 0.4,             0.20462,             0.12343,            0.067056,            0.030309,            0.017899,          0.00083363,          0.00083363,            0.086534
                 144,            0.067612,             0.05557,            0.021993,             0.13275,                 0.4,             0.20462,             0.12343,            0.067056,            0.030309,            0.017899,          0.00083269,          0.00083269,            0.086433
                 145,            0.060577,            0.058735,            0.016471,             0.12454,             0.39816,             0.19981,             0.11288,            0.066687,            0.030281,            0.017763,          0.00083165,          0.00083165,            0.086332
                 146,            0.071911,            0.061329,            0.020138,             0.12454,             0.39816,             0.19981,             0.11288,            0.066687,            0.030281,            0.017763,          0.00083051,          0.00083051,            0.086231
                 147,            0.065788,            0.067702,             0.01693,             0.12397,                 0.4,             0.20053,              0.1033,            0.066339,            0.030162,            0.017644,          0.00082928,          0.00082928,            0.086129
                 148,            0.067854,            0.032835,            0.019682,             0.12397,                 0.4,             0.20053,              0.1033,            0.066339,            0.030162,            0.017644,          0.00082795,          0.00082795,            0.086028
